url,healine,date,intro,keyword
https://www.news.com.au/finance/real-estate/renting/aussie-rental-crisis-worsens-with-cities-named-as-worst-places-to-live/news-story/6f55d47a3c95171d1b732f6901a332b3,Aussie rental crisis worsens with cities named as worst places to live,"November 24, 2021 - 3:08PM","There’s never been a worse time to rent in Australia. These are the places you really want to avoid, according to a new report.","Western Australia,New South Wales,housing crisis,Rental rates,low-income earners,absolute maximum,rental affordability,St Laurence and Beyond Bank Australia,Australian rental crisis,average household earning,Oceania,South Australia,Brisbane,regional areas,Rent affordability,Ellen Witte,capital cities,National Shelter, SGS Economics & Planning,house prices,Picture shows,Tweed Heads,Gold Coast,data shows,Australia and New Zealand,least affordable city,Victoria,rental index,Perth,rental crisis,Bendigo,city workers,Aussie rental crisis,Alex Turner-Cohen,pay rise,Sky News Australia,Canberra,rent crisis,Australian Capital Territory,rent rates,Australia,Sydney,rent increase,Queensland"
https://www.news.com.au/finance/real-estate/desperate-to-get-on-the-property-ladder-as-prices-keep-climbing-yellow-brick-road-chair-suggests-rentvesting/news-story/d2c66d0a4b71a128efa1c9bd737654cb,Desperate to get on the property ladder as prices keep climbing? Yellow Brick Road chair suggests ‘rentvesting’,"November 24, 2021 - 1:50PM",Aussies desperate to get onto the property ladder are urged to think hard before they buy. Here’s why you might be better off renting.,"newswire-news,New South Wales,Lismore,cash rate,Commonwealth Bank of Australia,Staff writer,average capital city,steady house price,Oceania,property ladder,executive chairman,Australian house prices,official cash rate,purchase price,Royal Bank of Canada,property market,Michael Sukkar,price rises,data shows,Australia and New Zealand,interest rates,David Swift,predicted dwelling prices,Personal finance author,property prices,The Yellow Brick Road,Robert Thompson,Neil Breen,house price growth,wage growth,Australia,macro rates strategist,Reserve Bank of Australia"
https://www.news.com.au/lifestyle/real-life/true-stories/woman-breaks-down-into-tears-telling-senate-she-can-only-afford-mouldy-bread-on-government-payment/news-story/431984a62934f85f1ae4e958f79325a6,Woman breaks down into tears telling Senate she can only afford mouldy bread on government payment,"November 16, 2021 - 5:47PM",A pensioner has revealed she has to buy mouldy bread and can’t even afford fresh milk because of the meagre government support payments.,"disability support pension,Paul Jeffers,Parliament House,Oceania,food budget problem,government support payment,disability pension,Reports claim,national poverty line,newswire-politics,mouldy bread,Ricki Spencer,Monash University,Australia and New Zealand,Victoria,Bendigo,mental health effects,Aussie woman‘s,government payments,government disability payment,rental cost,Max Primmer,Canberra,Australian Capital Territory,Helena Burke,Australia"
https://www.news.com.au/finance/real-estate/buying/sydney-real-estate-north-shore-mum-buys-son-1m-home-for-christmas/news-story/c77973974aabc3d9dac15e241ab18472,Sydney real estate: North Shore mum buys son $1m home for Christmas,"November 13, 2021 - 4:18PM",A Sydney mum has just given a whole new meaning to Christmas spirit after buying her son a $1 million house as a present for December 25.,"New South Wales,reasonable risk assessment,Australian property prices,Realm of New Zealand,Shayne Eliott,extraordinary price changes,Oceania,property analytics,peak rate,housing market,Sydney real estate,property market,square metre home,open home,housing market warrant,mum buys son,house prices,price guide,Tim Lawless,Australia and New Zealand,real estate,Ross Greenwood,Penrith,booming property conditions,Sky News,Alex Turner-Cohen,property prices stalling,research director,extraordinary price,Number renters,estate agent,North Shore,Australia,real estate agent,Sydney"
https://www.news.com.au/finance/real-estate/melbourne-vic/sam-gance-chemist-warehouse-boss-lists-12500aweek-toorak-rental/news-story/f0002ce214b875a07c9a54cd73b9d5dd,"Sam Gance: Chemist Warehouse boss lists $12,500-a-week Toorak rental","November 12, 2021 - 11:52AM","Hot on the heels of splashing about $43m on a Toorak mansion, Sam Gance has listed another luxury home for rent just two minutes away.","Tim Carrafa,Richmond Tigers,Grace Morley,British billionaire,final price,Kew house,high-end rental,quality stock,Oceania,Toorak,international businessman,lifestyle property,records show,John Matthies,Darren McMullin,ample accommodation,cashed-up tenant,Jack Gance,Janet Roach,priciest rental home,Chemist Retail Group,m block,record price,Australia and New Zealand,changed hands,Victoria,Eddie Healey,five-bedoom mansion,exclusive corporate market,Australian price,luxury home,Michael Gibson,old-English-style mansion,Kelly,high-end rental market,pharmacy retail chain,living arrangements,high-profile rental listing,top-end end rentals,benchmark sale,Samantha Landy,Poolman House,Australia,tennis court"
https://www.news.com.au/national/politics/investigation-finds-parliament-rent-boys-claim-false/news-story/2cca40b48bccb6059d9ff3d59299c88a,Investigation finds Parliament ‘rent boys’ claim false,"November 8, 2021 - 9:12AM",The results of an investigation into shock claims that a Coalition staffer procured sex workers for a senior MP has been revealed.,"Nola Marino,Parliament House,Oceania,Linda Reynolds,Scott Morrison,police investigation,workplace investigation,revenge porn,Coalition MP,question time,investigating law,desk wanking,Labor staffers,male escorts,chat group,Australia and New Zealand,Department of Finance,sex acts,sex workers,Simon Birmingham,Tony Abbott,Australia,gay dating website,Queensland,historical instance"
https://www.news.com.au/entertainment/tv/reality-tv/where-alleged-block-conwoman-emese-fajk-is-now/news-story/48df1d214bd879137b4a29b822daa2b2,Where alleged Block conwoman Emese Fajk is now,"November 6, 2021 - 11:05AM","Last year, The Block was rocked by its biggest scandal to date, when the buyer of one of the homes failed to pay up - here’s what happened next.","building family homes,United Nations,United States of America,blonde hair extensions,multiple continents,auction day result,North America,Portugal,design aesthetic,Oceania,Daily Mail,auction day,cyber security expert,Secret life,bank statement,America,Steve Silva,international conwoman,Northern Europe,Anz Bank,Brighton,cyber security,Australia and New Zealand,island paradise,Europe,Julian Cress,United Kingdom,The Block house,Portuguese landlord,California,auction day scandal,Bella Fowler,Northern America,Palm Springs,action flick,reality television scandals,Southern Europe,Danny Wallis,Australia,young family,rental owner"
https://www.news.com.au/finance/real-estate/covid19-vaccination-status-beginning-to-divide-share-houses-flatmates-research-reveals/news-story/ac1ab1bafab8968b7cfc4a45de328640,"Covid-19 vaccination status beginning to divide share houses, Flatmates research reveals","November 5, 2021 - 6:00AM","Covid-19 has created a new dynamic for Aussies in share houses to navigate, with vaccination status now a deal-breaker for those picking house mates, new research by Flatmates.com.au reveals.","co-tenant relationship,house mates,Amelia Berwick,lockdown restrictions ease,St Kilda,Melbourne,lending restrictionsThe impacts,Oceania,pre-lockdown levels,ups and downs,Awkward vax question,pain point,vaccination status,share houses,close quarters,bizarre fish pond,quality home,question dividing share,dividing share houses,house living,inner city,flatmate friendships,Australia and New Zealand,Victoria,home buyers,outdoor space,annoying thing,emergency department,Share house,city rental prices,Claudia Conley,share house living,share house opportunities,virus home,share house,Australia,Homeowner gamble,positive nurse"
https://www.news.com.au/finance/real-estate/sydney-nsw/former-bank-teller-arjun-paliwal-reveals-simple-method-to-owning-13-homes/news-story/35f6cb53feaaff9e321b3196e7cf9dc4,Former bank teller Arjun Paliwal reveals simple method to owning 13 homes,"November 4, 2021 - 5:44PM",A former bank teller who has built a global property empire due to some savvy real estate investments has revealed the simple trick he uses to work the system to his advantage.,"property empire,New South Wales,United States of America,clever tactic,economy trends,Arjun Paliwal,property purchases,commercial properties,property portfolio,North America,Burnie,savings games,Melbourne,Leigh,Oceania,property ladder,property buyer,Nicole Kidman,America,capital cities,Karl Stefanovic,Bateau Bay,clever savings games,bank teller,Australia and New Zealand,Tasmania,Victoria,XXXXXX,Real Estate Reporter,leads celebrities,Hallett Cove, SA.,New Zealand,property investors looking,Northern America,Real Estate,rental returns,property investors,Australia,Sydney house,Sydney"
https://www.news.com.au/finance/real-estate/renting/aussie-rental-crisis-worsens-with-cities-named-as-worst-places-to-live/news-story/6f55d47a3c95171d1b732f6901a332b3,Aussie rental crisis worsens with cities named as worst places to live,"November 24, 2021 - 3:08PM","There’s never been a worse time to rent in Australia. These are the places you really want to avoid, according to a new report.","Western Australia,New South Wales,housing crisis,Rental rates,low-income earners,absolute maximum,rental affordability,St Laurence and Beyond Bank Australia,Australian rental crisis,average household earning,Oceania,South Australia,Brisbane,regional areas,Rent affordability,Ellen Witte,capital cities,National Shelter, SGS Economics & Planning,house prices,Picture shows,Tweed Heads,Gold Coast,data shows,Australia and New Zealand,least affordable city,Victoria,rental index,Perth,rental crisis,Bendigo,city workers,Aussie rental crisis,Alex Turner-Cohen,pay rise,Sky News Australia,Canberra,rent crisis,Australian Capital Territory,rent rates,Australia,Sydney,rent increase,Queensland"
https://www.news.com.au/finance/real-estate/desperate-to-get-on-the-property-ladder-as-prices-keep-climbing-yellow-brick-road-chair-suggests-rentvesting/news-story/d2c66d0a4b71a128efa1c9bd737654cb,Desperate to get on the property ladder as prices keep climbing? Yellow Brick Road chair suggests ‘rentvesting’,"November 24, 2021 - 1:50PM",Aussies desperate to get onto the property ladder are urged to think hard before they buy. Here’s why you might be better off renting.,"newswire-news,New South Wales,Lismore,cash rate,Commonwealth Bank of Australia,Staff writer,average capital city,steady house price,Oceania,property ladder,executive chairman,Australian house prices,official cash rate,purchase price,Royal Bank of Canada,property market,Michael Sukkar,price rises,data shows,Australia and New Zealand,interest rates,David Swift,predicted dwelling prices,Personal finance author,property prices,The Yellow Brick Road,Robert Thompson,Neil Breen,house price growth,wage growth,Australia,macro rates strategist,Reserve Bank of Australia"
https://www.news.com.au/lifestyle/real-life/true-stories/woman-breaks-down-into-tears-telling-senate-she-can-only-afford-mouldy-bread-on-government-payment/news-story/431984a62934f85f1ae4e958f79325a6,Woman breaks down into tears telling Senate she can only afford mouldy bread on government payment,"November 16, 2021 - 5:47PM",A pensioner has revealed she has to buy mouldy bread and can’t even afford fresh milk because of the meagre government support payments.,"disability support pension,Paul Jeffers,Parliament House,Oceania,food budget problem,government support payment,disability pension,Reports claim,national poverty line,newswire-politics,mouldy bread,Ricki Spencer,Monash University,Australia and New Zealand,Victoria,Bendigo,mental health effects,Aussie woman‘s,government payments,government disability payment,rental cost,Max Primmer,Canberra,Australian Capital Territory,Helena Burke,Australia"
https://www.news.com.au/finance/real-estate/buying/sydney-real-estate-north-shore-mum-buys-son-1m-home-for-christmas/news-story/c77973974aabc3d9dac15e241ab18472,Sydney real estate: North Shore mum buys son $1m home for Christmas,"November 13, 2021 - 4:18PM",A Sydney mum has just given a whole new meaning to Christmas spirit after buying her son a $1 million house as a present for December 25.,"New South Wales,reasonable risk assessment,Australian property prices,Realm of New Zealand,Shayne Eliott,extraordinary price changes,Oceania,property analytics,peak rate,housing market,Sydney real estate,property market,square metre home,open home,housing market warrant,mum buys son,house prices,price guide,Tim Lawless,Australia and New Zealand,real estate,Ross Greenwood,Penrith,booming property conditions,Sky News,Alex Turner-Cohen,property prices stalling,research director,extraordinary price,Number renters,estate agent,North Shore,Australia,real estate agent,Sydney"
https://www.news.com.au/finance/real-estate/melbourne-vic/sam-gance-chemist-warehouse-boss-lists-12500aweek-toorak-rental/news-story/f0002ce214b875a07c9a54cd73b9d5dd,"Sam Gance: Chemist Warehouse boss lists $12,500-a-week Toorak rental","November 12, 2021 - 11:52AM","Hot on the heels of splashing about $43m on a Toorak mansion, Sam Gance has listed another luxury home for rent just two minutes away.","Tim Carrafa,Richmond Tigers,Grace Morley,British billionaire,final price,Kew house,high-end rental,quality stock,Oceania,Toorak,international businessman,lifestyle property,records show,John Matthies,Darren McMullin,ample accommodation,cashed-up tenant,Jack Gance,Janet Roach,priciest rental home,Chemist Retail Group,m block,record price,Australia and New Zealand,changed hands,Victoria,Eddie Healey,five-bedoom mansion,exclusive corporate market,Australian price,luxury home,Michael Gibson,old-English-style mansion,Kelly,high-end rental market,pharmacy retail chain,living arrangements,high-profile rental listing,top-end end rentals,benchmark sale,Samantha Landy,Poolman House,Australia,tennis court"
https://www.news.com.au/national/politics/investigation-finds-parliament-rent-boys-claim-false/news-story/2cca40b48bccb6059d9ff3d59299c88a,Investigation finds Parliament ‘rent boys’ claim false,"November 8, 2021 - 9:12AM",The results of an investigation into shock claims that a Coalition staffer procured sex workers for a senior MP has been revealed.,"Nola Marino,Parliament House,Oceania,Linda Reynolds,Scott Morrison,police investigation,workplace investigation,revenge porn,Coalition MP,question time,investigating law,desk wanking,Labor staffers,male escorts,chat group,Australia and New Zealand,Department of Finance,sex acts,sex workers,Simon Birmingham,Tony Abbott,Australia,gay dating website,Queensland,historical instance"
https://www.news.com.au/entertainment/tv/reality-tv/where-alleged-block-conwoman-emese-fajk-is-now/news-story/48df1d214bd879137b4a29b822daa2b2,Where alleged Block conwoman Emese Fajk is now,"November 6, 2021 - 11:05AM","Last year, The Block was rocked by its biggest scandal to date, when the buyer of one of the homes failed to pay up - here’s what happened next.","building family homes,United Nations,United States of America,blonde hair extensions,multiple continents,auction day result,North America,Portugal,design aesthetic,Oceania,Daily Mail,auction day,cyber security expert,Secret life,bank statement,America,Steve Silva,international conwoman,Northern Europe,Anz Bank,Brighton,cyber security,Australia and New Zealand,island paradise,Europe,Julian Cress,United Kingdom,The Block house,Portuguese landlord,California,auction day scandal,Bella Fowler,Northern America,Palm Springs,action flick,reality television scandals,Southern Europe,Danny Wallis,Australia,young family,rental owner"
https://www.news.com.au/finance/real-estate/covid19-vaccination-status-beginning-to-divide-share-houses-flatmates-research-reveals/news-story/ac1ab1bafab8968b7cfc4a45de328640,"Covid-19 vaccination status beginning to divide share houses, Flatmates research reveals","November 5, 2021 - 6:00AM","Covid-19 has created a new dynamic for Aussies in share houses to navigate, with vaccination status now a deal-breaker for those picking house mates, new research by Flatmates.com.au reveals.","co-tenant relationship,house mates,Amelia Berwick,lockdown restrictions ease,St Kilda,Melbourne,lending restrictionsThe impacts,Oceania,pre-lockdown levels,ups and downs,Awkward vax question,pain point,vaccination status,share houses,close quarters,bizarre fish pond,quality home,question dividing share,dividing share houses,house living,inner city,flatmate friendships,Australia and New Zealand,Victoria,home buyers,outdoor space,annoying thing,emergency department,Share house,city rental prices,Claudia Conley,share house living,share house opportunities,virus home,share house,Australia,Homeowner gamble,positive nurse"
https://www.news.com.au/finance/real-estate/melbourne-vic/victorian-homebuyer-fund-explained-toorak-gets-nod-but-popular-regional-spots-left-out/news-story/c8b9b1c0cc0f65770861bc766a4374a0,"Victorian Homebuyer Fund explained: Toorak gets nod, but popular regional spots left out","October 17, 2021 - 2:00PM","Elite suburbs like Toorak are eligible for a new state housing affordability initiative, but many popular regional spots are out. Here’s what you need to know about the Victorian Homebuyer Fund.","median unit,price record,Holiday downs,stamp duty tweak,coastal cheapies,Vic Homebuyer Fund,market value,median unit costs,Estate Buyers Agents Association of Australia,North America,Melbourne,land supply runs,government spokesman,Herald Sun,first-home buyer assistance,property market,middle-of-the road unit,tourist destinations,asking price,St Kilda West,Victoria,Europe,Cate Bakos,Northern America,income moves,home prices,print clause,Clifton Springs,record sale,affordability initiative,Southern Europe,Italy,Wealthy family converges,first-home buyers,property market news,Western Australia,Swan Hill,Scott Lethbridge,Sunderland Bay,Portland,unit costs,road unit costs,United States of America,Maine,San Remo,government upfront,popular holiday spot,one-bedder apartments,Oceania,Estate Institute of Victoria,home loan,Geelong,America,Geelong house,Deepdene,Real Estate Update,median unit prices,Australia and New Zealand,affordable suburbs dip,tourism operators,healthy property markets,Sunbury house,parents renting,Steve Wallis,Adam Docking,Renee Reynolds,Australia,metropolitan cap,housing affordability scheme,Holiday markets"
https://www.news.com.au/finance/real-estate/melbourne-vic/renting-homes-to-tv-crews-melburnians-making-thousands-leasing-for-film-and-television-use/news-story/ff907ae17617d9c79d88738d254fa117,Renting homes to TV crews: Melburnians making thousands leasing for film and television use,"October 17, 2021 - 12:00AM","Savvy Melburnians can add up to $100,000 a year to their income by renting out their home, yard or even their driveway for use in television and film. Here’s how to do it.","name films,online search engine,Matt Damon,Carolyn Barton,TV House Inc.,on-screen home,green room,film crews,luxury mansions,North America,Nelson Alexander,media personality,Bayside,industry professionals,Yarra Glen,property,Unrenovated suburban pads,wheat silo,Renovated house,herald sun,Victoria,Clifton Hill,Liam Neeson,Natalie Portman,California,advertised range,Herald Sun realestate,Miss Fisher,Napier Waller House,Hollywood,suburban pads,website functions,Northern America,Patterson Lakes,lead character,hallway access,Grant Schaub,car company,Alison Brown,Arch Staver,filming action,Virginia,Richmond,Chris Hemsworth,investment property,Fitzroy North,Lagoon Place,United States of America,Australian homeowners,Ivanhoe,kudos thing,Oceania,sheep station,Eric Bana,Yering Station Winery,America,double income stream,savvy owner,television crews,converted church hall,silver screen,popular shows,Vermont South,television productions,hiring side,eventual buyer,Alphington church,Australia and New Zealand,star power,Guy Pearce,television,tv homes,fair bit,Rebecca DiNuzzo,real estate,holiday homes,Jason Edwards,photo shoots,presenter snares,Australia,ongoing filming,efficient process"
https://www.news.com.au/finance/real-estate/renting/outrage-over-derelict-melbourne-home-costing-800-a-week-to-rent/news-story/9d57edc27a07c8c84ee64f604520c249,Outrage over derelict Melbourne home costing $800 a week to rent,"October 16, 2021 - 6:25PM",Melbourne renters are angry after being asked to fork out $800 a week on a house that is literally falling apart.,"inner city lifestyle,home costing,housing sales market,Oceania,mop curtains,crime scene,rental listing,swimming pool,five-bedroom derelict home,capital cities,art kitchen,social media,derelict inner city,inner city limits,real estate agents,inner city,social media battering,data shows,g mould,highest annual growth,Australia and New Zealand,city home costing,price hike moratoriums,inner city home,Alex Turner-Cohen,light build dangling,derelict rental,Social media users,Australia,dilapidated rental home,derelict rental costing"
https://www.news.com.au/finance/real-estate/melbourne-vic/are-you-an-apartment-or-house-dweller-big-brotherinspired-quiz-determines-lifestyle-happiness/news-story/f2648fc7ced011f7685bf214b61fa552,Are you an apartment or house dweller? Big Brother-inspired quiz determines lifestyle happiness,"October 14, 2021 - 3:00PM",A photo quiz featuring cake and a dancefloor is underpinning a social experiment determining — with great accuracy — whether people are well suited to apartment living. TAKE THE TEST.,"Western Australia,chief executive,Sharon Dart,rent-to-buy options,Abby,Elysa Anderson,Melbourne,Oceania,right thing,single slice,suburban home,apartment living,right qualities,Samantha Reece,trial apartment,suburban houses,three-bedroom apartment,Australia and New Zealand,Victoria,apartment dwellers,Perth,social experiment,Sarah Matray,emotional transformations,bizarre social experiment,city sky home,isolated island home,apartment lovers,apartment lifestyle,Docklands,Australia"
